AS-1	Bûrat
TW-213	Dwarven Ring of Barin’s Tribe
TW-214	Dwarven Ring of Bávor’s Tribe
TW-215	Dwarven Ring of Drúin’s Tribe
TW-216	Dwarven Ring of Durin’s Tribe
TW-217	Dwarven Ring of Dwálin’s Tribe
TW-218	Dwarven Ring of Thélor’s Tribe
TW-219	Dwarven Ring of Thrár’s Tribe
TW-220	Eagle-mounts
TW-221	Earth of Galadriel’s Orchard
TW-223	Elf-song
TW-224	Elf-stone
TW-225	Elven Cloak
TW-229	Escape
TW-230	Escape
TW-231	Fair Gold Ring
TW-232	Fair Sailing
TW-233	Fair Travels in Border-lands
TW-234	Fair Travels in Dark-domains
TW-235	Fair Travels in Free-domains
TW-236	Fair Travels in Shadow-lands
TW-237	Fair Travels in Wilderness
TW-238	Far-sight
TW-239	Favor of the Valar
TW-241	Fog
TW-242	Ford
TW-247	Gollum’s Fate
TW-248	Great Ship
TW-249	Great-road
TW-250	Great-shield of Rohan
TW-252	Halfling Stealth
TW-253	Halfling Strength
TW-254	Hauberk of Bright Mail
TW-255	Healing Herbs
TW-256	Hiding
TW-259	Horn of Anor
TW-261	Iron Hill Dwarves
TW-262	Kindling of the Spirit
TW-263	Knights of Dol Amroth
TW-264	Lapse of Will
TW-266	Lesser Ring
TW-267	Lordly Presence
TW-269	Lucky Search
TW-270	Lucky Strike
TW-271	Magic Ring of Courage
TW-272	Magic Ring of Lore
TW-273	Magic Ring of Nature
TW-274	Magic Ring of Stealth
TW-275	Magic Ring of Words
TW-276	Men of Anfalas
TW-277	Men of Anórien
TW-278	Men of Dorwinion
TW-279	Men of Lamedon
TW-280	Men of Lebennin
TW-281	Men of Northern Rhovanion
TW-288	Muster
TW-292	New Friendship
TW-293	Old Friendship
TW-297	Palantír of Annúminas
TW-298	Palantír of Elostirion
TW-299	Palantír of Minas Tirith
TW-301	Palantír of Osgiliath
TW-303	Persuasive Words
TW-304	Potion of Prowess
TW-305	Praise to Elbereth
TW-306	Precious Gold Ring
TW-309	Quiet Lands
TW-314	Reforging
TW-315	Rescue Prisoners
TW-318	Ringlore
TW-319	Risky Blow
TW-320	Roäc the Raven
TW-321	Sacrifice of Form
TW-322	Sapling of the White Tree
TW-324	Secret Entrance
TW-325	Secret Passage
TW-327	Shield of Iron-bound Ash
TW-332	Stealth
TW-336	Sword of Gondolin
TW-337	Tempering Friendship
TW-338	Test of Form
TW-339	Test of Form
TW-340	Test of Lore
TW-341	The Arkenstone
TW-342	The Cock Crows
TW-344	The Great Eagles
TW-345	The Mithril-coat
TW-346	The Old Thrush
TW-349	Thorough Search
TW-351	Torque of Hues
TW-352	Tower Guard of Minas Tirith
TW-354	True Fána
TW-355	Use Palantír
TW-356	Vanishment
TW-357	Variags of Khand
TW-360	Wizard’s Fire
TW-361	Wizard’s Flame
TW-362	Wizard’s Laughter
TW-363	Wizard’s Ring
TW-364	Wizard’s River-horses
TW-365	Wizard’s Test
TW-366	Wizard’s Voice
TW-369	Woses of Old Pûkel-land
TW-370	Woses of the Drúadan Forest
TW-373	Bandit Lair
TW-376	Beorn’s House
TW-377	Blue Mountain Dwarf-hold
TW-379	Cameth Brin
TW-381	Caves of Ûlund
TW-383	Dancing Spire
TW-390	Dunnish Clan-hold
TW-391	Eagles’ Eyrie
TW-392	Easterling Camp
TW-402	Irerock
TW-403	Iron Hill Dwarf-hold
TW-405	Isles of the Dead that Live
TW-407	Lond Galen
TW-409	Lossadan Cairn
TW-410	Lossadan Camp
TW-422	Ruined Signal Tower
TW-423	Sarn Goriwing
TW-424	Shelob’s Lair
TW-425	Shrel-Kain
TW-426	Southron Oasis
TW-427	Stone-circle
TW-429	The Stones
TW-430	The White Towers
TW-431	The Wind Throne
TW-432	Thranduil’s Halls
TW-434	Vale of Erech
TW-435	Variag Camp
TW-438	Woodmen-town
TW-439	Wose Passage-hold
TW-441	Andrast Coast
TW-454	Elven Shores
TW-456	Eriadoran Coast
TW-459	Gap of Isen
TW-461	Grey Mountain Narrows
TW-464	Heart of Mirkwood
TW-467	Horse Plains
TW-475	Mouths of the Anduin
TW-476	Northern Rhovanion
TW-477	Númeriador
TW-479	Old Pûkel Gap
TW-480	Old Pûkel-land
TW-485	Southern Rhovanion
TW-488	Western Mirkwood
TW-490	Wold & Foothills
TW-492	Fury of the Iron Crown
TW-493	Neeker-breekers
TW-496	The Iron Crown
TW-497	A Pack at the Door
TW-498	Swordmaster
TW-500	Lure of MECCG
WH-2	Doeth (Durthak)
WH-3	Euog (Ulzog)
WH-5	Ill-favoured Fellow
WH-10	Sly Southerner
WH-11	Squint-eyed Brute
WH-13	Goblin-faces
WH-14	Blind to the West
WH-15	Cast from the Order
WH-16	Cruel Claw Perceived
WH-17	Echoes of the Song
WH-19	Fool’s Bane
WH-20	Foul Tooth Unsheathed
WH-21	Heart Grown Cold
WH-22	In the Grip of Ambition
WH-23	Inner Rot
WH-24	Ire of the East
WH-25	Longing for the West
WH-26	Mask Torn
WH-27	Nature’s Revenge
WH-28	Power Relinquished to Artifice
WH-29	Rolled down to the Sea
WH-30	Something Else at Work
WH-31	Whole Villages Roused
WH-32	Will You Not Come Down?
WH-33	Noble Steed
WH-34	Promptings of Wisdom
WH-36	The White Wizard
WH-37	A Panoply of Wings
WH-38	Beasts of the Wood
WH-39	Wild Horses
WH-40	Wild Hounds
WH-41	The Black Council
WH-42	Counterfeit
WH-43	Crept Along Cleverly
WH-44	The Fiery Blade
WH-45	Govern the Storms
WH-46	Open to the Summons
WH-47	Piercing All Shadows
WH-48	Poison of his Voice
WH-49	Sojourn in Shadows
WH-50	White Light Broken
WH-51	Blasting Fire
WH-52	Liquid Fire
WH-53	Mechanical Bow
WH-54	Vile Fumes
WH-55	Deep Mines
WH-58	The White Towers
WH-59	A Merrier World
WH-60	A New Ringlord
WH-61	A Strident Spawn
WH-62	An Untimely Brood
WH-63	Bad Company
WH-64	Blind to All Else
WH-65	Delver’s Harvest
WH-66	Double-dealing
WH-67	Earth-eater
WH-68	The Fortress of Isen
WH-69	Fortress of the Towers
WH-70	Gatherer of Loyalties
WH-71	Gnawed Ways
WH-72	Great Patron
WH-73	Great Ruse
WH-74	Guarded Haven
WH-75	Hidden Haven
WH-76	Legacy of Smiths
WH-77	Mischief in a Mean Way
WH-78	Never Refuse
WH-79	Plotting Ruin
WH-80	Shameful Deeds
WH-81	Spells Born of Discord
WH-82	Thrall of the Voice
WH-83	War-forges
WH-84	Wizard’s Myrmidon
WH-85	Wizard’s Trove
WH-86	Greater Half-orcs
WH-88	Keys of Orthanc
WH-89	Keys to the White Towers
WH-90	Bow of Alatar
WH-91	The Great Hunt
WH-92	Huntsman’s Garb
WH-93	Join the Hunt
WH-94	Oromë’s Warders
WH-95	Squire of the Hunt
WH-96	Await the Onset
WH-97	Chambers in the Royal Court
WH-98	Gandalf’s Friend
WH-99	Give Welcome to the Unexpected
WH-100	Grey Embassy
WH-101	The Grey Hat
WH-103	Arcane School
WH-104	Pallando’s Apprentice
WH-105	Pallando’s Hood
WH-106	Prophet of Doom
WH-107	Stave of Pallando
WH-108	Truths of Doom
WH-109	Friend of Secret Things
WH-110	Girdle of Radagast
WH-111	Glove of Radagast
WH-112	Master of Shapes
WH-113	Pocketed Robes
WH-114	Radagast’s Black Bird
WH-115	Shifter of Hues
WH-116	Winged Change-master
WH-117	The Forge-master
WH-118	Many-coloured Robes
WH-119	Man of Skill
WH-120	Saruman’s Machinery
WH-121	Saruman’s Ring
WH-122	The White Hand
